"","...1","...2","...3","validName","q5","q5_low","q5_high","q50","q50_low","q50_high","q95","q95_low","q95_high","year","id_cells","ndstcol","dstdoy","nObs","q5_CI","q50_CI","q95_CI","gcode","annualTemp","tempSeas","annualPrec","precSeas","overwinteringStage","voltinism","diurnality","WikiName","OrigSyn","decade","onset","offset","origin","onsetdate","offsetdate","UnusualWarmDaysOnset","UnusualColdDaysOnset","UnusualWarmOnOff","UnusualColdOnOff","UnusualWarmSum","UnusualColdSum","duration","Seas","GDDOnsetSum","GDDOffsetSum","GDDOnOffSum","annualTemp_unscaled","tempSeas_unscaled","annualPrec_unscaled","precSeas_unscaled","UnusualWarmDaysOnset_unscaled","UnusualColdDaysOnset_unscaled","UnusualWarmOnOff_unscaled","UnusualColdOnOff_unscaled","UnusualWarmSum_unscaled","UnusualColdSum_unscaled","year2","accum_GDD","accum_GDD_sc"
"462",720,748,759,"Satyrium calanus",171,NA,NA,184,175,185,207,192,209,-0.343714168,166,-0.639007591,-0.202581067,23,249,10,17,"Satyrium calanus.1976.166",0.003739859,-0.374574202,0.135545694,0.337050717,"E","U","D","Satyrium calanus","Rusticus calanus H<fc>bner, [1809]",1970,171,207,"12/31/1975","6/19/1976","7/25/1976",1.033868457,0.020049359,-0.580261735,0.748498926,0.363402218,0.486475476,36,"Summer",625.2795077,620.6811943,1245.960702,141.6364412,8999.101846,1014.977028,0.494759443,3,1,0,2,3,3,1976,963.284072,0.252455745029399
"463",728,756,767,"Satyrium calanus",171.35,169,174.45,185,175.5,187,194.55,191.55,196,1.092357461,166,0.987074622,0.618593478,30,5.45,11.5,4.45,"Satyrium calanus.1999.166",0.535212214,-0.530074919,0.701739145,1.211555032,"E","U","D","Satyrium calanus","Rusticus calanus H<fc>bner, [1809]",1990,171,194,"12/31/1998","6/20/1999","7/13/1999",1.033868457,-0.615307914,1.239740089,-0.641138474,1.601844636,-0.829729516,23,"Summer",660.9012787,431.503076,1092.404355,154.697654,8823.499941,1128.728206,0.576161483,3,0,3,0,6,0,1999,951.6243131,0.188129513254418
"464",731,759,770,"Satyrium caryaevorus",171.9,171,174,183,171,184,184,174,184,-0.281276271,166,-0.406710132,-0.671823664,7,3,13,10,"Satyrium caryaevorus.1977.166",0.056989364,0.172955395,1.19150671,-0.51230951,"E","U","D",NA,NA,1970,171,184,"12/31/1976","6/20/1977","7/3/1977",0.47099813,1.290763905,-0.580261735,-0.641138474,-0.049411921,0.486475476,13,"Summer",642.067729,219.8303734,861.8981024,142.9450758,9617.409222,1227.12503,0.415697906,2,3,0,0,2,3,1977,909.6754341,-0.0433000845955574
"465",754,783,794,"Speranza pustularia",171.8,170,174,183.5,174,188,196.65,188,198,-1.405158416,162,-0.639007591,-0.437202366,10,4,14,10,"Speranza pustularia.1959.162",-0.371477417,1.650902902,-0.472846175,-1.444955764,"E","U","N","Speranza pustularia","Stegania pustularia Guen<e9>e, 1857",1950,171,196,"12/31/1958","6/20/1959","7/15/1959",-0.654742524,-0.615307914,0.02640554,-0.641138474,-0.46222606,-0.829729516,25,"Summer",681.3275288,420.4349235,1101.762452,132.4152792,11286.4073,892.747971,0.328883803,0,0,1,0,1,0,1959,947.9982547,0.168124753716206
"466",14,14,14,"Aglossa cuprina",172.75,171,178,186,174.5,203.5,209.5,189,215,0.592854286,163,-0.639007591,-0.554513015,6,7,29,26,"Aglossa cuprina.1991.163",0.058377969,0.559173559,-1.374815547,-1.176187874,"L","U","N","Aglossa cuprina","Pyralis cuprina Zeller, 1872",1990,172,209,"12/31/1990","6/21/1991","7/28/1991",3.285349764,-0.615307914,-0.580261735,-0.641138474,2.014658775,-0.829729516,37,"Summer",812.8219488,689.4768976,1502.298846,142.9792015,10053.55284,711.5376826,0.353901695,7,0,0,0,7,0,1991,1097.290243,0.991760227133556
"467",51,62,63,"Boloria bellona",172.6,148,189,206,196,207,219.2,207,221,-1.967099489,162,-0.406710132,-0.319891716,13,41,11,14,"Boloria bellona.1950.162",-0.73314258,0.722346829,-0.308493773,-0.511118893,"L","M","D","Boloria bellona","Clossiana bellona",1950,172,219,"12/31/1949","6/21/1950","8/7/1950",-0.654742524,0.020049359,-0.580261735,0.053680226,-0.875040199,0.047740478,47,"Summer",583.4884684,724.3850543,1307.873523,123.5271675,10237.81911,925.7672142,0.415808733,0,1,0,1,0,2,1950,778.4934158,-0.767023875648878
"468",412,432,437,"Euphydryas phaeton",172.75,172,175.5,186.5,172,189,189,183.25,189,0.842605874,166,-0.639007591,-0.671823664,6,3.5,17,5.75,"Euphydryas phaeton.1995.166",0.244219979,-0.008285572,-0.22645388,0.308008459,"L","U","D",NA,NA,1990,172,189,"12/31/1994","6/21/1995","7/8/1995",-0.091872197,-0.615307914,0.02640554,-0.641138474,-0.049411921,-0.829729516,17,"Summer",643.4414838,286.1463264,929.5878102,147.5463667,9412.739689,942.2494508,0.492056084,1,0,1,0,2,0,1995,859.633188,-0.319380331946922
"469",413,433,438,"Euphydryas phaeton",172.8,171,177,178,171,178,212,178.7,224,1.029919564,166,-0.174412673,-0.554513015,7,6,7,45.3,"Euphydryas phaeton.1998.166",0.620926387,-1.416238842,0.663167953,-0.307915439,"L","U","D",NA,NA,1990,172,212,"12/31/1997","6/21/1998","7/31/1998",-0.654742524,0.020049359,-0.580261735,-0.641138474,-0.875040199,-0.390994519,40,"Summer",671.0782565,715.0968947,1386.175151,156.8041249,7822.783828,1120.979055,0.434723649,0,1,0,0,0,1,1998,978.7689489,0.337884936920877
"470",678,705,716,"Polites origenes",172,NA,NA,185,177,186,194.7,186,215,-1.779785798,162,-0.639007591,-0.319891716,15,249,9,29,"Polites origenes.1953.162",0.193333223,0.548893399,-1.810595055,-1.135584571,"L","U","D","Polites origenes","Limochores origenes Fabricius, 1793[2]",1950,172,194,"12/31/1952","6/21/1953","7/13/1953",-0.091872197,-0.615307914,0.02640554,-0.641138474,-0.049411921,-0.829729516,22,"Summer",663.1008382,391.8157119,1054.91655,146.2957979,10041.94379,623.987337,0.357681198,1,0,1,0,2,0,1953,877.2021652,-0.222453276326881
"471",757,786,797,"Speranza pustularia",172,NA,NA,180,175,199,214.3,199.15,226,0.218226904,163,-0.406710132,0.032040232,14,249,24,26.85,"Speranza pustularia.1985.163",-0.574650836,0.856948658,0.018309894,-0.105327572,"E","U","N","Speranza pustularia","Stegania pustularia Guen<e9>e, 1857",1980,172,214,"12/31/1984","6/21/1985","8/2/1985",2.15960911,0.020049359,-0.580261735,0.053680226,1.189030497,0.047740478,42,"Summer",691.3871864,680.8219847,1372.209171,127.4221855,10389.82058,991.4237525,0.453581264,5,1,0,1,5,2,1985,928.3149948,0.0595333197702949
