"search_string","unique_name","approximate_match","ott_id","is_synonym","flags","number_matches"
"hylephila phyleus","Hylephila phyleus",FALSE,336142,FALSE,"",1
"hyles lineata","Hyles lineata",FALSE,3093538,FALSE,"",1
"hypagyrtis unipunctata","Hypagyrtis unipunctata",FALSE,671608,FALSE,"",1
"hypena californica","Hypena californica",FALSE,278651,FALSE,"",1
"hyphantria cunea","Hyphantria cunea",FALSE,1003216,FALSE,"",1
"icaricia saepiolus","Aricia saepiolus",FALSE,717934,TRUE,"sibling_higher",1
"idia americalis","Idia americalis",FALSE,166346,FALSE,"",1
"iridopsis larvaria","Iridopsis larvaria",FALSE,922202,FALSE,"",1
"junonia coenia","Junonia coenia",FALSE,770737,FALSE,"",1
"lacanobia subjuncta","Lacanobia subjuncta",FALSE,416599,FALSE,"",1
"lethe appalachia","Lethe appalachia",FALSE,3108099,FALSE,"sibling_higher",1
"limenitis archippus","Limenitis archippus",FALSE,581024,FALSE,"",1
"limenitis arthemis","Limenitis arthemis",FALSE,67244,FALSE,"",1
"limenitis weidemeyerii","Limenitis weidemeyerii",FALSE,44258,FALSE,"",1
"lomographa vestaliata","Lomographa vestaliata",FALSE,907264,FALSE,"",1
"lophocampa caryae","Lophocampa caryae",FALSE,740206,FALSE,"",1
"lophocampa maculata","Lophocampa maculata",FALSE,907260,FALSE,"",1
"lycaena heteronea","Lycaena heteronea",FALSE,820331,FALSE,"sibling_higher",1
"lycaena phlaeas","Lycaena phlaeas",FALSE,6211,FALSE,"sibling_higher",1
"lymantria dispar","Lymantria dispar",FALSE,886835,FALSE,"",1
"malacosoma americanum","Malacosoma americanum",FALSE,440283,FALSE,"",1
"megathymus yuccae","Megathymus yuccae",FALSE,915359,FALSE,"",1
"metanema inatomaria","Metanema inatomaria",FALSE,462155,FALSE,"",1
"nathalis iole","Nathalis iole",FALSE,677804,FALSE,"",1
"noctua pronuba","Noctua pronuba",FALSE,1089514,FALSE,"",1
"nymphalis antiopa","Nymphalis antiopa",FALSE,444085,FALSE,"",1
"oarisma garita","Oarisma garita",FALSE,193707,FALSE,"",1
"ochlodes agricola","Ochlodes agricola",FALSE,3061898,FALSE,"",1
"ochlodes sylvanoides","Ochlodes sylvanoides",FALSE,922903,FALSE,"",1
"oeneis bore","Oeneis bore",FALSE,3107427,FALSE,"",1
"oeneis chryxus","Oeneis chryxus",FALSE,785400,FALSE,"",1
"oeneis jutta","Oeneis jutta",FALSE,846642,FALSE,"",1
"oeneis melissa","Oeneis melissa",FALSE,753873,FALSE,"",1
"oeneis polixenes","Oeneis polixenes",FALSE,627804,FALSE,"",1
"oeneis polyxenes","Oeneis polixenes",TRUE,627804,FALSE,"",1
"orgyia leucostigma","Orgyia leucostigma",FALSE,54606,FALSE,"",1
"orthosia hibisci","Orthosia hibisci",FALSE,937455,FALSE,"",1
"panopoda rufimargo","Panopoda rufimargo",FALSE,481060,FALSE,"sibling_higher",1
"panthea acronyctoides","Panthea acronyctoides",FALSE,621919,FALSE,"",1
"panthea furcilla","Panthea furcilla",FALSE,333942,FALSE,"",1
"pantographa limata","Pantographa limata",FALSE,621916,FALSE,"",1
"paonias excaecatus","Paonias excaecata",FALSE,75012,TRUE,"",1
"paonias myops","Paonias myops",FALSE,492310,FALSE,"",1
"papilio canadensis","Papilio canadensis",FALSE,43854,FALSE,"sibling_higher",1
"papilio eurymedon","Papilio eurymedon",FALSE,3130658,FALSE,"sibling_higher",1
"papilio glaucus","Papilio glaucus",FALSE,947948,FALSE,"sibling_higher",1
"papilio indra","Papilio indra",FALSE,715538,FALSE,"sibling_higher",1
"papilio machaon","Papilio machaon",FALSE,1018322,FALSE,"sibling_higher",1
"papilio multicaudata","Papilio multicaudata",FALSE,3131294,FALSE,"sibling_higher",1
"papilio troilus","Papilio troilus",FALSE,556774,FALSE,"sibling_higher",1
"papilio zelicaon","Papilio zelicaon",FALSE,715535,FALSE,"sibling_higher",1
"parnassius clodius","Parnassius clodius",FALSE,940011,FALSE,"",1
"parnassius smintheus","Parnassius smintheus",FALSE,674256,FALSE,"",1
"peridroma saucia","Peridroma saucia",FALSE,473882,FALSE,"",1
"pero behrensaria","Pero behrensaria",FALSE,516716,FALSE,"",1
"pholisora catullus","Pholisora catullus",FALSE,142960,FALSE,"",1
"phragmatobia fuliginosa","Phragmatobia fuliginosa",FALSE,918140,FALSE,"",1
"phyciodes pulchella","Phyciodes pulchella",FALSE,615536,FALSE,"",2
"phyciodes tharos","Phyciodes tharos",FALSE,615798,FALSE,"",1
"phyllocnistis populiella","Phyllocnistis populiella",FALSE,773545,FALSE,"",1
"pieris marginalis","Pieris marginalis",FALSE,617474,FALSE,"",1
"pieris rapae","Pieris rapae",FALSE,634345,FALSE,"",1
"pieris virginiensis","Pieris virginiensis",FALSE,617493,FALSE,"",1
"piruna pirus","Piruna pirus",FALSE,3063016,FALSE,"",1
"plebejus idas","Plebejus idas",FALSE,915953,FALSE,"sibling_higher",1
"plutella xylostella","Plutella xylostella",FALSE,664811,FALSE,"",1
"poanes hobomok","Poanes hobomok",FALSE,225570,FALSE,"",1
"poanes taxiles","Poanes taxiles",FALSE,461123,FALSE,"",1
"poanes viator","Poanes viator",FALSE,3063034,FALSE,"",1
"poanes zabulon","Poanes zabulon",FALSE,581679,FALSE,"",1
"polites mystic","Polites mystic",FALSE,3063702,FALSE,"sibling_higher",1
"polites origenes","Polites origenes",FALSE,3063669,FALSE,"sibling_higher",1
"polites peckius","Polites peckius",FALSE,208994,FALSE,"sibling_higher",1
"polites sabuleti","Polites sabuleti",FALSE,515992,FALSE,"sibling_higher",1
"polites themistocles","Polites themistocles",FALSE,197943,FALSE,"sibling_higher",1
"polygonia comma","Polygonia comma",FALSE,444091,FALSE,"",1
"polygonia faunus","Polygonia faunus",FALSE,444079,FALSE,"",1
"polygonia gracilis","Polygonia gracilis",FALSE,105833,FALSE,"",1
"polygonia interrogationis","Polygonia interrogationis",FALSE,502459,FALSE,"",1
"polygrammate hebraeicum","Polygrammate hebraeicum",FALSE,585948,FALSE,"",1
"pompeius verna","Pompeius verna",FALSE,581691,FALSE,"",1
"pontia occidentalis","Pontia occidentalis",FALSE,617496,FALSE,"",1
"pontia protodice","Pontia protodice",FALSE,144679,FALSE,"",1
"pontia sisymbrii","Pontia sisymbrii",FALSE,714810,FALSE,"",1
"psilocorsis reflexella","Psilocorsis reflexella",FALSE,786778,FALSE,"",1
"pyrgus centaureae","Pyrgus centaureae",FALSE,3065060,FALSE,"",1
"satyrium acadica","Satyrium acadica",FALSE,3139950,FALSE,"sibling_higher",1
"satyrium calanus","Satyrium calanus",FALSE,3139944,FALSE,"sibling_higher",1
"satyrium caryaevorus","Satyrium caryaevorus",FALSE,3139954,FALSE,"sibling_higher",1
"satyrium liparops","Satyrium liparops",FALSE,753127,FALSE,"sibling_higher",1
"macaria bicolorata","Macaria bicolorata",FALSE,993656,FALSE,"",1
"smerinthus cerisyi","Smerinthus cerisyi",FALSE,558959,FALSE,"",1
"speranza pustularia","Speranza pustularia",FALSE,5849777,FALSE,"",1
"speyeria aphrodite","Speyeria aphrodite",FALSE,680574,FALSE,"",1
"speyeria callippe","Speyeria callippe",FALSE,3110674,FALSE,"",1
"speyeria cybele","Speyeria cybele",FALSE,145702,FALSE,"",1
"speyeria mormonia","Speyeria mormonia",FALSE,714811,FALSE,"",1
"speyeria nokomis","Speyeria nokomis",FALSE,3110818,FALSE,"",1
"syssphinx hubbardi","Sphingicampa hubbardi",FALSE,3101587,TRUE,"sibling_higher",1
"sphinx vashti","Sphinx vashti",FALSE,580077,FALSE,"",1
"spilosoma virginica","Spilosoma virginica",FALSE,390781,FALSE,"",1
"strymon melinus","Strymon melinus",FALSE,1015831,FALSE,"",1
"thorybes pylades","Cecropterus pylades",FALSE,840522,TRUE,"",1
"thymelicus lineola","Thymelicus lineola",FALSE,99492,FALSE,"",1
"tolype laricis","Tolype laricis",FALSE,194826,FALSE,"",1
"vanessa atalanta","Vanessa atalanta",FALSE,581038,FALSE,"",1
"vanessa cardui","Vanessa cardui",FALSE,624277,FALSE,"",1
"vanessa virginiensis","Vanessa virginiensis",FALSE,624275,FALSE,"",1
"wallengrenia egeremet","Wallengrenia egeremet",FALSE,474395,FALSE,"",1
"xestia c-nigrum","Xestia c-nigrum",FALSE,535234,FALSE,"sibling_higher",1
"zerene cesonia","Zerene cesonia",FALSE,358155,FALSE,"",1
