scientific_name,overwinteringStage,voltinism,diurnality,notes.x,onsetProblems,offsetProblems,overwintering.stage.y,voltinism.y,notes.y,WikiName,OrigSyn,Syn,validName
Lycaena heteronea,E,U,D,NA,NA,NA,NA,NA,NA,Lycaena heteronea,"Chalceria cupreus Dyar, 1903",Chalceria,Lycaena heteronea
Lycaena heteronea,E,U,D,NA,NA,NA,NA,NA,NA,Lycaena heteronea,Lycaena cupreus,Lycaena cupreus,Lycaena heteronea
Lycaena heteronea,E,U,D,NA,NA,NA,NA,NA,NA,Lycaena heteronea,"Lycaena coloradensis Gunder, 1925",Lycaena coloradensis,Lycaena heteronea
Lycaena heteronea,E,U,D,NA,NA,NA,NA,NA,NA,Lycaena heteronea,"Lycaena gravenotata Klots, 1930",Lycaena gravenotata,Lycaena heteronea
Vanessa virginiensis,A,M,D,,N,,A,M,,Vanessa virginiensis,"Nymphalis cardui virginiensis Drury, 1773",Nymphalis cardui,Vanessa virginiensis
Vanessa virginiensis,A,M,D,,N,,A,M,,Vanessa virginiensis," Papilio huntera Fabricius, 1775",Papilio huntera,Vanessa virginiensis
Catocala crataegi,E,U,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Catocala crataegi
Colias interior,L,U,D,NA,NA,NA,L,U,,NA,NA,NA,Colias interior
Glaucopsyche lygdamus,P,U,D,NA,NA,NA,P,U,,NA,NA,NA,Glaucopsyche lygdamus
Lithophane antennata,A,M,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lithophane antennata
Catocala irene,E,U,N,NA,NA,NA,NA,NA,NA,Catocala irene,"Catocala volumnia H. Edwards, 1880",Catocala volumnia,Catocala irene
Catocala irene,E,U,N,NA,NA,NA,NA,NA,NA,Catocala irene,"Catocala virgilia  H. Edwards, 1880",Catocala virgilia,Catocala irene
Catocala irene,E,U,N,NA,NA,NA,NA,NA,NA,Catocala irene,"Catocala irene var. valeria H. Edwards, 1880",Catocala irene valeria,Catocala irene
Euphydryas editha,L,U,D,NA,NA,NA,L,U,D,NA,NA,NA,Euphydryas editha
Asterocampa clyton,L,F,D,NA,NA,NA,L,F,D,NA,NA,NA,Asterocampa clyton
Erynnis juvenalis,L,U,D,NA,NA,NA,L,U,D,NA,NA,NA,Erynnis juvenalis
Catocala concumbens,E,U,N,NA,NA,NA,NA,NA,NA,Catocala concumbens,"Catocala diana Edwards, 1880",Catocala diana,Catocala concumbens
Poanes zabulon,L,M,D,,low latitude problems,,L,M,,Lon zabulon,Hesperia zabulon,Hesperia zabulon,Lon zabulon
Poanes zabulon,L,M,D,,low latitude problems,,L,M,,Lon zabulon,Pamphila zabulon,Pamphila zabulon,Lon zabulon
Poanes zabulon,L,M,D,,low latitude problems,,L,M,,Lon zabulon,Atrytone zabulon,Atrytone zabulon,Lon zabulon
Poanes zabulon,L,M,D,,low latitude problems,,L,M,,Lon zabulon,Atrytone cabulon,Atrytone zabulon,Lon zabulon
Poanes zabulon,L,M,D,,low latitude problems,,L,M,,Lon zabulon,Poanes zabulon,Poanes zabulon,Lon zabulon
Poanes zabulon,L,M,D,,low latitude problems,,L,M,,Lon zabulon,Lon zabulon,Lon zabulon,Lon zabulon
Atalopedes campestris,L,F,D,NA,NA,NA,L,F,,NA,NA,NA,Atalopedes campestris
Catocala faustina,E,U,N,NA,NA,NA,NA,NA,NA,Catocala faustina,"Catocala rubra Cassino, 1918",Catocala rubra,Catocala faustina
Catocala faustina,E,U,N,NA,NA,NA,NA,NA,NA,Catocala faustina," Catocala faustina var. zillah Strecker, 1878",Catocala faustina zillah,Catocala faustina
Catocala faustina,E,U,N,NA,NA,NA,NA,NA,NA,Catocala faustina," Catocala faustina var. carlota Beutenmüller, 1897",Catocala faustina,Catocala faustina
Catocala faustina,E,U,N,NA,NA,NA,NA,NA,NA,Catocala faustina," Catocala faustina var. lydia Beutenmüller, 1907",Catocala faustina,Catocala faustina
Catocala micronympha,E,U,N,NA,NA,NA,NA,NA,NA,Catocala micronympha,Ephesia micronympha ,Ephesia,Catocala micronympha
Catocala micronympha,E,U,N,NA,NA,NA,NA,NA,NA,Catocala micronympha," Catocala timandra H. Edwards, 1880",Catocala timandra,Catocala micronympha
Catocala micronympha,E,U,N,NA,NA,NA,NA,NA,NA,Catocala micronympha," Catocala hero Hulst, 1884",Catocala hero,Catocala micronympha
Catocala micronympha,E,U,N,NA,NA,NA,NA,NA,NA,Catocala micronympha," Catocala atarah Strecker, 1874",Catocala atarah,Catocala micronympha
Catocala micronympha,E,U,N,NA,NA,NA,NA,NA,NA,Catocala micronympha," Catocala gisela Meyer, 1880",Catocala gisela,Catocala micronympha
Catocala micronympha,E,U,N,NA,NA,NA,NA,NA,NA,Catocala micronympha," Catocala fratercula Grote & Robinson, 1866",Catocala fratercula,Catocala micronympha
Catocala micronympha,E,U,N,NA,NA,NA,NA,NA,NA,Catocala micronympha," Catocala helene Pilate, 1882",Catocala helene,Catocala micronympha
Catocala micronympha,E,U,N,NA,NA,NA,NA,NA,NA,Catocala micronympha," Catocala ouwah Poling, 1901",Catocala ouwah,Catocala micronympha
Catocala micronympha,E,U,N,NA,NA,NA,NA,NA,NA,Catocala micronympha, Catocala fratercula atarah ,Catocala fratercula,Catocala micronympha
Catocala micronympha,E,U,N,NA,NA,NA,NA,NA,NA,Catocala micronympha, Catocala fratercula gisela ,Catocala fratercula,Catocala micronympha
Catocala micronympha,E,U,N,NA,NA,NA,NA,NA,NA,Catocala micronympha, Catocala fratercula hero ,Catocala fratercula,Catocala micronympha
Catocala micronympha,E,U,N,NA,NA,NA,NA,NA,NA,Catocala micronympha, Catocala fratercula jaquenetta ,Catocala fratercula,Catocala micronympha
Catocala micronympha,E,U,N,NA,NA,NA,NA,NA,NA,Catocala micronympha, Catocala fratercula ouwah ,Catocala fratercula,Catocala micronympha
Catocala micronympha,E,U,N,NA,NA,NA,NA,NA,NA,Catocala micronympha, Catocala fratercula timandra ,Catocala fratercula,Catocala micronympha
Catocala micronympha,E,U,N,NA,NA,NA,NA,NA,NA,Catocala micronympha, Catocala micronympha fratercula ,Catocala micronympha fratercula,Catocala micronympha
Catocala micronympha,E,U,N,NA,NA,NA,NA,NA,NA,Catocala micronympha," Catocala fratercula var. jacquenetta H. Edwards, 1880",Catocala fratercula,Catocala micronympha
Catocala micronympha,E,U,N,NA,NA,NA,NA,NA,NA,Catocala micronympha," Catocala fratercula var. hero H. Edwards, 1884",Catocala fratercula,Catocala micronympha
Catocala antinympha,E,U,N,NA,NA,NA,NA,NA,NA,Catocala antinympha,"Ephesia antinympha Hübner, 1823",Ephesia antinympha,Catocala antinympha
Catocala antinympha,E,U,N,NA,NA,NA,NA,NA,NA,Catocala antinympha,Catocala affinis Westwood 1837,Catocala affinis,Catocala antinympha
Catocala antinympha,E,U,N,NA,NA,NA,NA,NA,NA,Catocala antinympha,"Catocala melanympha Guenee, 1852",Catocala melanympha,Catocala antinympha
Catocala antinympha,E,U,N,NA,NA,NA,NA,NA,NA,Catocala antinympha,Catocala multiconspicua,Catocala,Catocala antinympha
Catocala antinympha,E,U,N,NA,NA,NA,NA,NA,NA,Catocala antinympha,"Catocala antinympha f. paranympha Reiff, 1919",Catocala antinympha,Catocala antinympha
Catocala coccinata,E,U,N,NA,NA,NA,NA,NA,NA,Catocala coccinata,"Catocala chiquita Bartsch, 1916",Catocala chiquita,Catocala coccinata
Catocala coccinata,E,U,N,NA,NA,NA,NA,NA,NA,Catocala coccinata,"Catocala coccinata var. circe Strecker, 1876",Catocala coccinata circe,Catocala coccinata
Catocala coccinata,E,U,N,NA,NA,NA,NA,NA,NA,Catocala coccinata,"Catocala sinuosa Grote, 1879",Catocala sinuosa,Catocala coccinata
Catocala relicta,E,U,N,NA,NA,NA,NA,NA,NA,Catocala relicta,"Catocala bianca H. Edwards, 1880",Catocala bianca,Catocala relicta
Catocala relicta,E,U,N,NA,NA,NA,NA,NA,NA,Catocala relicta," Catocala phrynia H. Edwards, 1880",Catocala phrynia,Catocala relicta
Catocala relicta,E,U,N,NA,NA,NA,NA,NA,NA,Catocala relicta," Catocala clara Beutenmüller, 1903",Catocala clara,Catocala relicta
Catocala relicta,E,U,N,NA,NA,NA,NA,NA,NA,Catocala relicta," Catocala fischeri Meyer, 1958",Catocala fischeri,Catocala relicta
Catocala relicta,E,U,N,NA,NA,NA,NA,NA,NA,Catocala relicta," Catocala elda Behrens, 1887",Catocala elda,Catocala relicta
Catocala similis,E,U,N,NA,NA,NA,NA,NA,NA,Catocala similis,Ephesia similis ,Ephesia,Catocala similis
Catocala similis,E,U,N,NA,NA,NA,NA,NA,NA,Catocala similis," Phalaena amasia Smith, 1797",Phalaena amasia,Catocala similis
Catocala similis,E,U,N,NA,NA,NA,NA,NA,NA,Catocala similis," Catocala formula Grote & Robinson, 1866",Catocala formula,Catocala similis
Catocala similis,E,U,N,NA,NA,NA,NA,NA,NA,Catocala similis," Catocala aholah Strecker, 1874",Catocala aholah,Catocala similis
Catocala similis,E,U,N,NA,NA,NA,NA,NA,NA,Catocala similis," Catocala formula var. isabella H. Edwards, 1880",Catocala formula,Catocala similis
Catocala similis,E,U,N,NA,NA,NA,NA,NA,NA,Catocala similis, Catocala similis aholah ,Catocala similis,Catocala similis
Catocala similis,E,U,N,NA,NA,NA,NA,NA,NA,Catocala similis, Catocala similis isabella ,Catocala similis,Catocala similis
Chlosyne gorgone,L,F,D,NA,NA,NA,L,F,,Chlosyne gorgone,Dryas gorgone,Dryas gorgone,Chlosyne gorgone
Ochlodes sylvanoides,L,U,D,NA,NA,NA,L,U,,Ochlodes sylvanoides,"Hesperia sylvanoides Boisduval, 1852",Hesperia sylvanoides,Ochlodes sylvanoides
Ochlodes sylvanoides,L,U,D,NA,NA,NA,L,U,,Ochlodes sylvanoides,Anthomaster sylvanoides,Anthomaster,Ochlodes sylvanoides
Ochlodes sylvanoides,L,U,D,NA,NA,NA,L,U,,Ochlodes sylvanoides,"Hesperia pratincola Boisduval, 1852",Hesperia pratincola,Ochlodes sylvanoides
Ochlodes sylvanoides,L,U,D,NA,NA,NA,L,U,,Ochlodes sylvanoides,"Hesperia francisca Plötz, 1883",Hesperia francisca,Ochlodes sylvanoides
Apamea devastator,,,N,,N,,NA,NA,NA,Apamea devastator,Agrotis marshallana,Agrostis marschalliana,Apamea devastator
Apamea devastator,,,N,,N,,NA,NA,NA,Apamea devastator,Crymodes devastator[1],Crymodes devastator,Apamea devastator
Apamea devastator,,,N,,N,,NA,NA,NA,Apamea devastator,Mamestra contenta,Mamestra contenta,Apamea devastator
Apamea devastator,,,N,,N,,NA,NA,NA,Apamea devastator,Mamestra ordinaria,Mamestra ordinaria,Apamea devastator
Apamea devastator,,,N,,N,,NA,NA,NA,Apamea devastator,Phalaena devastator,Phalaena devastator,Apamea devastator
Apamea devastator,,,N,,N,,NA,NA,NA,Apamea devastator,Polia speciosa,Polia speciosa,Apamea devastator
Grammia virgo,L,U,N,NA,NA,NA,NA,NA,NA,Apantesis virgo,"Grammia virgo (Linnaeus, 1758)",Grammia virgo,Apantesis virgo
Grammia virgo,L,U,N,NA,NA,NA,NA,NA,NA,Apantesis virgo,"Bombyx virgo Linnaeus, 1758",Bombyx virgo,Apantesis virgo
Grammia virgo,L,U,N,NA,NA,NA,NA,NA,NA,Apantesis virgo,"Euprepia virgo var. citrinaria Neumoegen & Dyar, 1893",Euprepia virgo citrinaria,Apantesis virgo
Grammia virgo,L,U,N,NA,NA,NA,NA,NA,NA,Apantesis virgo,"Grammia virgo f. simplex Stretch, 1906",Grammia virgo,Apantesis virgo
Grammia virgo,L,U,N,NA,NA,NA,NA,NA,NA,Apantesis virgo,Apantesis virgo,Apantesis virgo,Apantesis virgo
Poanes hobomok,L,U,D,,N,,NA,NA,NA,Lon hobomok,Poanes hobomok,Poanes hobomok,Lon hobomok
Poanes hobomok,L,U,D,,N,,NA,NA,NA,Lon hobomok,Lon hobomok,Lon hobomok,Lon hobomok
Alcis porcelaria,L,M,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alcis porcelaria
Catocala junctura,E,U,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Catocala junctura
Euphyes vestris,L,F,D,,N,,L,F,,Euphyes vestris,"Hesperia vestris Boisduval, 1852",Hesperia vestris,Euphyes vestris
Euphyes vestris,L,F,D,,N,,L,F,,Euphyes vestris,"Hesperia ruricola Boisduval, 1852",Hesperia ruricola,Euphyes vestris
Euphyes vestris,L,F,D,,N,,L,F,,Euphyes vestris,Euphyes ruricola,Euphyes ruricola,Euphyes vestris
Euphyes vestris,L,F,D,,N,,L,F,,Euphyes vestris,"Pamphila osceola Lintner, 1878",Pamphila osceola,Euphyes vestris
Euphyes vestris,L,F,D,,N,,L,F,,Euphyes vestris,"Pamphila californica Mabille, 1883",Pamphila californica,Euphyes vestris
Euphyes vestris,L,F,D,,N,,L,F,,Euphyes vestris,"Hesperia metacomet Harris, 1862",Hesperia metacomet,Euphyes vestris
Euphyes vestris,L,F,D,,N,,L,F,,Euphyes vestris,"Pamphila rurea Edwards, 1862",Pamphila rurea,Euphyes vestris
Euphyes vestris,L,F,D,,N,,L,F,,Euphyes vestris,"Hesperia osyka Edwards, 1867",Hesperia osyka,Euphyes vestris
Euphyes vestris,L,F,D,,N,,L,F,,Euphyes vestris,"Hesperia baeis Scudder, 1889 (nomen nudum)",Hesperia,Euphyes vestris
Ochropleura implecta,,M,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ochropleura implecta
Spilosoma virginica,L,M,N,,N,,NA,NA,NA,NA,NA,NA,Spilosoma virginica
Xanthorhoe decoloraria,,,N,NA,NA,NA,NA,NA,NA,Xanthorhoe decoloraria,"Phalaena decoloraria Esper, 1805",Phalaena decoloraria,Xanthorhoe decoloraria
Xanthorhoe decoloraria,,,N,NA,NA,NA,NA,NA,NA,Xanthorhoe decoloraria,"Geometra munitata Hübner, 1809",Geometra munitata,Xanthorhoe decoloraria
Xanthorhoe decoloraria,,,N,NA,NA,NA,NA,NA,NA,Xanthorhoe decoloraria,"Xanthorhoe munitata  (Hübner, 1809) ",Xanthorhoe munitata,Xanthorhoe decoloraria
Xanthorhoe decoloraria,,,N,NA,NA,NA,NA,NA,NA,Xanthorhoe decoloraria,"Xanthorhoe fulvata  (Fabricius, 1787)  (preocc. Forster, 1771)",Xanthorhoe fulvata,Xanthorhoe decoloraria
Xanthorhoe decoloraria,,,N,NA,NA,NA,NA,NA,NA,Xanthorhoe decoloraria,"Xanthorhoe munitaria  (Boisduval, 1840) ",Xanthorhoe munitaria,Xanthorhoe decoloraria
Xanthorhoe decoloraria,,,N,NA,NA,NA,NA,NA,NA,Xanthorhoe decoloraria,"Xanthorhoe strigata  (Packard, 1867) ",Xanthorhoe strigata,Xanthorhoe decoloraria
Xanthorhoe decoloraria,,,N,NA,NA,NA,NA,NA,NA,Xanthorhoe decoloraria,"Xanthorhoe immediata  (Grote, 1882) ",Xanthorhoe immediata,Xanthorhoe decoloraria
Xanthorhoe decoloraria,,,N,NA,NA,NA,NA,NA,NA,Xanthorhoe decoloraria,"Xanthorhoe anticostiata  (Strecker, 1899) ",Xanthorhoe,Xanthorhoe decoloraria
Xanthorhoe lacustrata,,,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Xanthorhoe lacustrata
Danaus plexippus,M,M,D,NA,NA,NA,A (migrate),F,,Danaus plexippus,"Papilio plexippus Linnaeus, 1758",Papilio plexippus,Danaus plexippus
Danaus plexippus,M,M,D,NA,NA,NA,A (migrate),F,,Danaus plexippus,"Danaus archippus (Fabricius, 1793)[2]",Danais archippus,Danaus plexippus
Danaus plexippus,M,M,D,NA,NA,NA,A (migrate),F,,Danaus plexippus,"Danaus menippe (Hübner, 1816)[3]",Danais menippe,Danaus plexippus
Danaus plexippus,M,M,D,NA,NA,NA,A (migrate),F,,Danaus plexippus,"Anosia plexippus Dyar, 1903",Anosia plexippus,Danaus plexippus
Euphydryas chalcedona,L,U,D,NA,NA,NA,L,U,,NA,NA,NA,Euphydryas chalcedona
Catocala ilia,E,U,N,NA,NA,NA,NA,NA,NA,Catocala ilia,"Phalaena ilia Cramer, [1776]",Phalaena ilia,Catocala ilia
Catocala ilia,E,U,N,NA,NA,NA,NA,NA,NA,Catocala ilia," Catocala duplicata Worthington, 1883",Catocala duplicata,Catocala ilia
Catocala ilia,E,U,N,NA,NA,NA,NA,NA,NA,Catocala ilia, Ephesia duplicata ,Ephesia duplicata,Catocala ilia
Catocala ilia,E,U,N,NA,NA,NA,NA,NA,NA,Catocala ilia," Catocala decorata Worthington, 1883",Catocala decorata,Catocala ilia
Catocala ilia,E,U,N,NA,NA,NA,NA,NA,NA,Catocala ilia," Catocala conspicua Worthington, 1883",Catocala conspicua,Catocala ilia
Catocala ilia,E,U,N,NA,NA,NA,NA,NA,NA,Catocala ilia," Catocala uxor Guenée, 1852",Catocala uxor,Catocala ilia
Catocala ilia,E,U,N,NA,NA,NA,NA,NA,NA,Catocala ilia," Catocala albomacula Butler, 1892",Catocala albomacula,Catocala ilia
Catocala ilia,E,U,N,NA,NA,NA,NA,NA,NA,Catocala ilia," Catocala iliana Strand, 1914",Catocala iliana,Catocala ilia
Catocala ilia,E,U,N,NA,NA,NA,NA,NA,NA,Catocala ilia," Catocala obsoleta Worthington, 1883",Catocala obsoleta,Catocala ilia
Catocala ilia,E,U,N,NA,NA,NA,NA,NA,NA,Catocala ilia," Catocala confusa Worthington, 1883",Catocala confusa,Catocala ilia
Catocala ilia,E,U,N,NA,NA,NA,NA,NA,NA,Catocala ilia," Catocala normani Bartsch, 1916",Catocala normani,Catocala ilia
Catocala ilia,E,U,N,NA,NA,NA,NA,NA,NA,Catocala ilia," Catocala santanas Reiff, 1920",Catocala satanus,Catocala ilia
Catocala ilia,E,U,N,NA,NA,NA,NA,NA,NA,Catocala ilia," Catocala hulsti Reiff, 1920 ",Catocala hulsti,Catocala ilia
Catocala ilia,E,U,N,NA,NA,NA,NA,NA,NA,Catocala ilia," Catocala zoe Behr, 1870",Catocala zoe,Catocala ilia
Catocala ilia,E,U,N,NA,NA,NA,NA,NA,NA,Catocala ilia," Catocala osculata Hulst, 1884",Catocala osculata,Catocala ilia
Catocala ilia,E,U,N,NA,NA,NA,NA,NA,NA,Catocala ilia," Catocala reiffi Cassino, 1917",Catocala reiffi,Catocala ilia
Catocala praeclara,E,U,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Catocala praeclara
Colias eurytheme,P,M,D,,two outliers,,M,M,,NA,NA,NA,Colias eurytheme
Pontia protodice,P,M,D,,N,,P,M,,Pontia protodice,Pieris protodice,Pieris protodice,Pontia protodice
Agrotis subterranea,P,M,N,NA,NA,NA,NA,NA,NA,Feltia subterranea,"Agrotis subterranea (Fabricius, 1794)",Agrotis subterranea,Feltia subterranea
Agrotis subterranea,P,M,N,NA,NA,NA,NA,NA,NA,Feltia subterranea,"Noctua subterranea Fabricius, 1794",Noctua subterranea,Feltia subterranea
Agrotis subterranea,P,M,N,NA,NA,NA,NA,NA,NA,Feltia subterranea,"Agrotis annexa Treitschke, 1825",Agrotis annexa,Feltia subterranea
Agrotis subterranea,P,M,N,NA,NA,NA,NA,NA,NA,Feltia subterranea,"Agrotis anteposita Guenée, 1852",Agrotis anteposita,Feltia subterranea
Agrotis subterranea,P,M,N,NA,NA,NA,NA,NA,NA,Feltia subterranea,"Noctua lutescens Blanchard, 1852",Noctua,Feltia subterranea
Agrotis subterranea,P,M,N,NA,NA,NA,NA,NA,NA,Feltia subterranea,"Euxoa lutescens (Blanchard, 1852)",Euxoa,Feltia subterranea
Agrotis subterranea,P,M,N,NA,NA,NA,NA,NA,NA,Feltia subterranea,"Agrotis decernens Walker, [1857]",Agrotis decernens,Feltia subterranea
Agrotis subterranea,P,M,N,NA,NA,NA,NA,NA,NA,Feltia subterranea,"Agrotis interferens Walker, 1858",Agrotis interferens,Feltia subterranea
Agrotis subterranea,P,M,N,NA,NA,NA,NA,NA,NA,Feltia subterranea,"Xylina lutaea Druce, 1889",Xylina lytaea,Feltia subterranea
Agrotis subterranea,P,M,N,NA,NA,NA,NA,NA,NA,Feltia subterranea,"Agrotis interposita Maassen, 1890",Agrotis interposita,Feltia subterranea
Agrotis subterranea,P,M,N,NA,NA,NA,NA,NA,NA,Feltia subterranea,"Euxoa williamsi Schaus, 1923",Euxoa williamsi,Feltia subterranea
Agrotis subterranea,P,M,N,NA,NA,NA,NA,NA,NA,Feltia subterranea,"Agrotis blanchardi Berg, 1882",Agrotis blanchardi,Feltia subterranea
Agrotis subterranea,P,M,N,NA,NA,NA,NA,NA,NA,Feltia subterranea,Feltia subterranea,Feltia subterranea,Feltia subterranea
Biston betularia,P,M,N,NA,NA,NA,NA,NA,NA,Biston betularia,"Phalaena (Geometra) betularia Linnaeus, 1758",Phalaena betularia,Biston betularia
Biston betularia,P,M,N,NA,NA,NA,NA,NA,NA,Biston betularia,"Phalaena (Noctua) p-graecum (Poda, 1761)",Phalaena,Biston betularia
Biston betularia,P,M,N,NA,NA,NA,NA,NA,NA,Biston betularia,"Phalaena (Geometra) ulmaria (Borkhausen, 1794)",Phalaena ulmaria,Biston betularia
Biston betularia,P,M,N,NA,NA,NA,NA,NA,NA,Biston betularia,Eubyja betularia,Eubyja betularia,Biston betularia
Biston betularia,P,M,N,NA,NA,NA,NA,NA,NA,Biston betularia,"Amphidasis huberaria (Ballion, 1866)",Amphidasis huberaria,Biston betularia
Biston betularia,P,M,N,NA,NA,NA,NA,NA,NA,Biston betularia,"Amphidasys betularia var. doubledayaria (Millière, 1870)",Amphidasis betularia doubledayaria,Biston betularia
Biston betularia,P,M,N,NA,NA,NA,NA,NA,NA,Biston betularia,"Biston cognataria alexandrina (Wehrli, 1941)",Biston cognataria,Biston betularia
Biston betularia,P,M,N,NA,NA,NA,NA,NA,NA,Biston betularia,"Biston (Eubyjodonta) huberaria (tienschana Wehrli, 1941)",Biston huberaria,Biston betularia
Biston betularia,P,M,N,NA,NA,NA,NA,NA,NA,Biston betularia,"Biston cognataria sinitibetica (Wehrli, 1941)",Biston cognataria,Biston betularia
Perizoma custodiata,,,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Perizoma custodiata
Utetheisa ornatrix,,M,D,May fly continously in southern range,NA,NA,NA,NA,NA,Utetheisa ornatrix,"Phalaena ornatrix Linnaeus, 1758",Phalaena ornatrix,Utetheisa ornatrix
Utetheisa ornatrix,,M,D,May fly continously in southern range,NA,NA,NA,NA,NA,Utetheisa ornatrix,"Utetheisa bella (Linnaeus, 1758)",Utetheisa bella,Utetheisa ornatrix
Utetheisa ornatrix,,M,D,May fly continously in southern range,NA,NA,NA,NA,NA,Utetheisa ornatrix,"Deiopeia ornatrix var. stretchii Butler, 1877",Deiopeia ornatrix,Utetheisa ornatrix
Utetheisa ornatrix,,M,D,May fly continously in southern range,NA,NA,NA,NA,NA,Utetheisa ornatrix,"Deiopeia pura Butler, 1877",Deiopia pura,Utetheisa ornatrix
Utetheisa ornatrix,,M,D,May fly continously in southern range,NA,NA,NA,NA,NA,Utetheisa ornatrix,"Deiopeia ornatrix var. daphoena Dyar, 1914",Deiopeia ornatrix,Utetheisa ornatrix
Utetheisa ornatrix,,M,D,May fly continously in southern range,NA,NA,NA,NA,NA,Utetheisa ornatrix,"Deiopeia ornatrix var. butleri Dyar, 1914",Deiopeia ornatrix,Utetheisa ornatrix
Utetheisa ornatrix,,M,D,May fly continously in southern range,NA,NA,NA,NA,NA,Utetheisa ornatrix,"Phalaena Tinea bella Linnaeus, 1758",Phalaena bella,Utetheisa ornatrix
Utetheisa ornatrix,,M,D,May fly continously in southern range,NA,NA,NA,NA,NA,Utetheisa ornatrix,"Euprepia venusta Dalman, 1823",Euprepia venusta,Utetheisa ornatrix
Utetheisa ornatrix,,M,D,May fly continously in southern range,NA,NA,NA,NA,NA,Utetheisa ornatrix,"Deiopeia speciosa Walker, 1854",Deiopeia speciosa,Utetheisa ornatrix
Utetheisa ornatrix,,M,D,May fly continously in southern range,NA,NA,NA,NA,NA,Utetheisa ornatrix,"Deiopeia ornatrix var. hybrida Butler, 1877",Deiopeia ornatrix,Utetheisa ornatrix
Utetheisa ornatrix,,M,D,May fly continously in southern range,NA,NA,NA,NA,NA,Utetheisa ornatrix,"Deiopeia bella var. intermedia Butler, 1877",Deiopeia bella,Utetheisa ornatrix
Utetheisa ornatrix,,M,D,May fly continously in southern range,NA,NA,NA,NA,NA,Utetheisa ornatrix,"Utetheisa bella var. terminalis Neumoegen & Dyar, 1893",Utetheisa bella,Utetheisa ornatrix
Utetheisa ornatrix,,M,D,May fly continously in southern range,NA,NA,NA,NA,NA,Utetheisa ornatrix,"Utetheisa nova J.B.Smith, 1910",Utetheisa nova,Utetheisa ornatrix
Idia americalis,L,M,N,NA,NA,NA,NA,NA,NA,Idia americalis,"Idia pulverosa (J. B. Smith, 1893)",Idia pulverosa,Idia americalis
Idia americalis,L,M,N,NA,NA,NA,NA,NA,NA,Idia americalis," Idia scriptipennis (Walker, 1858)",Idia scriptipennis,Idia americalis
Oeneis jutta,L,U,D,NA,NA,NA,NA,NA,NA,Oeneis jutta,"Papilio jutta Hübner, [1805-1806]",Papilio jutta,Oeneis jutta
Speyeria nokomis,L,U,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,Speyeria nokomis
Colias philodice,L,M,D,,N,,L,F,,NA,NA,NA,Colias philodice
Euphyes conspicua,L,U,D,NA,NA,NA,NA,NA,NA,Euphyes conspicua,"Hesperia conspicua W. H. Edwards, 1863",Hesperia conspicua,Euphyes conspicua
Euphyes conspicua,L,U,D,NA,NA,NA,NA,NA,NA,Euphyes conspicua,Euphyes conspicuus,Euphyes conspicuus,Euphyes conspicua
Euphyes conspicua,L,U,D,NA,NA,NA,NA,NA,NA,Euphyes conspicua,Atrytone conspicua,Atrytone conspicua,Euphyes conspicua
Euphyes conspicua,L,U,D,NA,NA,NA,NA,NA,NA,Euphyes conspicua,"Hesperia pontiac W. H. Edwards, 1863",Hesperia pontiac,Euphyes conspicua
Euphyes conspicua,L,U,D,NA,NA,NA,NA,NA,NA,Euphyes conspicua,Limochroes pontiac,Limochores pontiac,Euphyes conspicua
Euphyes conspicua,L,U,D,NA,NA,NA,NA,NA,NA,Euphyes conspicua,"Hedone orono Scudder, 1872",Hedone orono,Euphyes conspicua
Euphyes conspicua,L,U,D,NA,NA,NA,NA,NA,NA,Euphyes conspicua,"Atrytone buchholzi Ehrlich and Gillham, 1951",Atrytone buchholzi,Euphyes conspicua
Colias meadii,L,U,D,NA,NA,NA,NA,NA,NA,Colias meadii,"Eurymus meadii Dyar, 1903",Eurymus meadii,Colias meadii
Colias meadii,L,U,D,NA,NA,NA,NA,NA,NA,Colias meadii,"Colias elis Strecker, 1885",Colias elis,Colias meadii
Oeneis melissa,L,U,D,NA,NA,NA,NA,NA,NA,Oeneis melissa,"Papilio melissa Fabricius, 1775",Papilio melissa,Oeneis melissa
Oeneis melissa,L,U,D,NA,NA,NA,NA,NA,NA,Oeneis melissa,"Oeneis beanii Elwes, 1893",Oeneis beanii,Oeneis melissa
Oeneis melissa,L,U,D,NA,NA,NA,NA,NA,NA,Oeneis melissa,"Oeneis arctica Gibson, 1920",Oeneis arctica,Oeneis melissa
Oeneis melissa,L,U,D,NA,NA,NA,NA,NA,NA,Oeneis melissa,"Oeneis simulans Gibson, 1920",Oeneis simulans,Oeneis melissa
Oeneis melissa,L,U,D,NA,NA,NA,NA,NA,NA,Oeneis melissa,"Hipparchia semidea Say, 1828",Hipparchia semidea,Oeneis melissa
Oeneis melissa,L,U,D,NA,NA,NA,NA,NA,NA,Oeneis melissa,Oeneis eritiosa Harris,Oeneis eritiosa,Oeneis melissa
