scientific_name,overwinteringStage,voltinism,diurnality,notes.x,onsetProblems,offsetProblems,overwintering.stage.y,voltinism.y,notes.y,WikiName,OrigSyn,Syn,validName
Costaconvexa centrostrigaria,A,M,N,NA,NA,NA,NA,NA,NA,Costaconvexa centrostrigaria,"Costaconvexa luscinata  (Zeller, 1873) ",Costaconvexa,Costaconvexa centrostrigaria
Costaconvexa centrostrigaria,A,M,N,NA,NA,NA,NA,NA,NA,Costaconvexa centrostrigaria,"Costaconvexa interruptata  (Rebel, 1894) ",Costaconvexa,Costaconvexa centrostrigaria
Costaconvexa centrostrigaria,A,M,N,NA,NA,NA,NA,NA,NA,Costaconvexa centrostrigaria,"Costaconvexa paranensis  (Schaus, 1901) ",Costaconvexa,Costaconvexa centrostrigaria
Allotria elonympha,P,M,N,NA,NA,NA,NA,NA,NA,Allotria elonympha,"Ephesia elonympha Hübner, 1818",Ephesia elonympha,Allotria elonympha
Hesperia viridis,L,M,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hesperia viridis
Palpita magniferalis,,,N,NA,NA,NA,NA,NA,NA,Palpita magniferalis,"Botys magniferalis Walker, 1861",Botys magniferalis,Palpita magniferalis
Palpita magniferalis,,,N,NA,NA,NA,NA,NA,NA,Palpita magniferalis,"Scoparia fascialis Walker, 1862",Scoparia,Palpita magniferalis
Palpita magniferalis,,,N,NA,NA,NA,NA,NA,NA,Palpita magniferalis,"Palpita fascialis (Walker, 1862)",Palpita fascialis,Palpita magniferalis
Palpita magniferalis,,,N,NA,NA,NA,NA,NA,NA,Palpita magniferalis,"Sebunta guttulosa Walker, 1863",Sebunta,Palpita magniferalis
Palpita magniferalis,,,N,NA,NA,NA,NA,NA,NA,Palpita magniferalis,"Palpita guttulosa (Walker, 1863)",Palpita guttulosa,Palpita magniferalis
Polygrammate hebraeicum,P,M,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,Polygrammate hebraeicum
Psilocorsis reflexella,P,M,N,,NA,NA,NA,NA,NA,Psilocorsis reflexella,"Cryptolechia ferruginosa Zeller, 1873",Cryptolechia ferruginosa,Psilocorsis reflexella
Psilocorsis reflexella,P,M,N,,NA,NA,NA,NA,NA,Psilocorsis reflexella,"Psilocorsis fletcherella Gibson, 1909",Psilocorsis fletcherella,Psilocorsis reflexella
Psilocorsis reflexella,P,M,N,,NA,NA,NA,NA,NA,Psilocorsis reflexella,"Psilocorsis caryae Clarke, 1941",Psilocorsis caryae,Psilocorsis reflexella
Psilocorsis reflexella,P,M,N,,NA,NA,NA,NA,NA,Psilocorsis reflexella,"Psilocorsis reflexa Chambers, 1878",Psilocorsis reflexa,Psilocorsis reflexella
Pantographa limata,L,U,N,,N,,NA,NA,NA,Pantographa limata,"Sylepta limata Grote & Robinson, 1867",Sylepta,Pantographa limata
Pheosia rimosa,P,M,N,NA,NA,NA,NA,NA,NA,Pheosia rimosa,Notodonta californica Stretch 1872,Notodonta californica,Pheosia rimosa
Pheosia rimosa,P,M,N,NA,NA,NA,NA,NA,NA,Pheosia rimosa,"Pheosia portlandia H. Edwards, 1886",Pheosia portlandia,Pheosia rimosa
Pheosia rimosa,P,M,N,NA,NA,NA,NA,NA,NA,Pheosia rimosa,"Pheosia taiwanognoma Nakamura, 1973",Pheosia taiwanognoma,Pheosia rimosa
Fishia discors,,,,NA,NA,NA,NA,NA,NA,Fishia discors,"Fishia evelina  (French, 1888)",Fishia evelina,Fishia discors
Fishia discors,,,,NA,NA,NA,NA,NA,NA,Fishia discors,"Fishia hanhami  Smith, 1909",Fishia hanhami,Fishia discors
Grammia williamsii,L,U,N,NA,NA,NA,NA,NA,NA,Apantesis williamsii,"Grammia williamsii (Dodge, 1871)",Grammia williamsii,Apantesis williamsii
Grammia williamsii,L,U,N,NA,NA,NA,NA,NA,NA,Apantesis williamsii,"Arctia williamsii Dodge, 1871",Arctia williamsii,Apantesis williamsii
Grammia williamsii,L,U,N,NA,NA,NA,NA,NA,NA,Apantesis williamsii,"Arctia determinata Neumögen, 1881",Arctia determinata,Apantesis williamsii
Grammia williamsii,L,U,N,NA,NA,NA,NA,NA,NA,Apantesis williamsii,"Apantesis tooele ab. ophir Barnes & McDunnough, 1910",Apantesis tooele,Apantesis williamsii
Grammia williamsii,L,U,N,NA,NA,NA,NA,NA,NA,Apantesis williamsii,"Apantesis bolanderi ab. confluentis Strand, 1919",Apantesis,Apantesis williamsii
