,scientific_name,Syn,validName,overwintering.stage,voltinism,diurnality,notes,onsetProblems,offsetProblems
119,Grais stigmaticus,NA,Grais stigmaticus,,,D,,Y,
120,Greta annette,NA,Greta annette,,,D,,Y,
121,Greta morgane,NA,Greta morgane,,,D,,Y,
122,Halysidota tessellaris,Halisidota tessellarus,Halysidota tessellaris,P,F,N,,N,
123,Hamadryas atlantis,NA,Hamadryas atlantis,,M,D,,N,
124,Hamadryas februa,NA,Hamadryas februa,,M,D,,Y,
125,Hamadryas julitta,NA,Hamadryas julitta,,,D,,Y,
126,Hamadryas laodamia,NA,Hamadryas laodamia,,M,D,flies year round,Y,
127,Heliconius aliphera,NA,Heliconius aliphera,,,D,,NA,
128,Heliconius charithonia,NA,Heliconius charithonia,,M,D,,Y,
129,Heliconius cydno,NA,Heliconius cydno,,M,D,,NA,
130,Heliconius erato,NA,Heliconius erato,,M,D,,Y,
131,Heliconius hecale,NA,Heliconius hecale,,M,D,,NA,
132,Heliopetes arsalte,Heliopetes crameri,Heliopetes arsalte,,,D,,Y,
133,Heliopetes arsalte,Papilio menalcus,Heliopetes arsalte,,,D,,Y,
134,Heliopetes arsalte,Papilio niveus,Heliopetes arsalte,,,D,,Y,
135,Heliopetes arsalte,Pyrgus figara,Heliopetes arsalte,,,D,,Y,
136,Heliopetes arsalte,Papilio menalcas,Heliopetes arsalte,,,D,,Y,
137,Hemiargus ceraunus,NA,Hemiargus ceraunus,,F,D,,Y,
138,Hemiargus hanno,NA,Hemiargus hanno,,,D,,Y,
139,Hermeuptychia hermes,NA,Hermeuptychia hermes,,,D,,Y,
140,Hesperocharis costaricensis,NA,Hesperocharis costaricensis,,,D,,N,
141,Historis acheronta,NA,Historis acheronta,,M,D,,N,
142,Historis odius,NA,Historis odius,,,D,,Y,
143,Hylesia continua,NA,Hylesia continua,,,N,,NA,
144,Hymenia perspectalis,NA,Hymenia perspectalis,,,N,,NA,
145,Hypercompe permaculata,NA,Hypercompe permaculata,L,,N,,one outlier,
146,Ithomia patilla,NA,Ithomia patilla,,,D,,Y,
147,Juditha molpe,NA,Juditha molpe,,,D,,Y,
148,Junonia coenia,NA,Junonia coenia,M,M,D,,N,
149,Junonia evarete,NA,Junonia evarete,A,M,D,,Y,
150,Kricogonia lyside,NA,Kricogonia lyside,,M,D,,Y,
151,Leptophobia aripa,NA,Leptophobia aripa,,M,D,,Y,
152,Leptotes cassius,NA,Leptotes cassius,,M,D,,Y,
153,Lethe appalachia,Satyrodes appalachia,Lethe appalachia,L,F,D,,N,
154,Lieinix nemesis,NA,Lieinix nemesis,,,D,,Y,
155,Limenitis archippus,NA,Limenitis archippus,L,M,D,,N,
