Year,id_cells,MAT,bio4,MAP,bio15
1976,3,24.33333333,212.9412231,72.31166667,1.225867413
1977,3,24.85666667,188.8556299,60.87083333,1.234719691
1978,3,24.565,171.6961031,102.7033333,1.187190292
1979,3,24.32833333,185.1742928,105.9716667,1.337400186
1980,3,24.10916667,192.6568928,92.715,1.2414753
1981,3,24.28666667,198.1053181,129.2891667,1.305957117
1982,3,24.6625,161.0676866,67.67083333,1.109099987
1983,3,24.69083333,205.5141761,79.75333333,1.144513718
1984,3,23.70833333,150.4122601,92.12833333,1.192618639
1985,3,23.79833333,153.3059889,84.28916667,1.151585479
1986,3,23.48583333,155.452345,79.72333333,1.117260131
1987,3,23.74166667,159.1516326,59.53,1.347525546
1988,3,23.87916667,143.8742666,93.30333333,1.420584414
1989,3,24.045,161.9633612,80.265,1.475888624
1990,3,24.85583333,145.8193438,58.7075,1.232103715
1991,3,24.81083333,153.3611934,80.47666667,1.414229242
1992,3,24.5775,158.5395577,75.46916667,1.300841948
1993,3,24.46833333,128.1679633,128.8916667,1.518323435
1994,3,24.555,155.7442806,55.6425,1.199394015
1995,3,24.2675,137.9419596,117.2858333,0.906568627
1996,3,23.485,144.8451796,127.1191667,0.97421253
1997,3,23.85333333,136.293186,111.5291667,0.919915758
1998,3,24.7725,173.9453854,101.5583333,1.406043923
1999,3,23.72416667,198.7155863,83.38333333,1.585270273
2000,3,23.64833333,158.8506572,75.9475,1.106699946
2001,3,23.5775,142.2634527,75.94083333,0.926441757
2002,3,23.58666667,160.6400078,85.82416667,1.207271445
2003,3,23.69833333,185.1504859,192.1316667,0.742977494
2004,3,23.98833333,162.0976265,95.3075,0.849644991
2005,3,24.73333333,156.4309041,123.4033333,1.00111171
2006,3,24.92666667,153.8905607,80.5375,1.117830111
2007,3,24.96583333,152.3530745,73.06,1.432176809
2008,3,24.49333333,153.7435925,77.21583333,1.316896487
2009,3,25.07333333,159.7069087,58.86083333,1.146895667
2010,3,24.41916667,209.406854,116.1925,1.455655987
1900,4,21.85294118,144.9603305,172.4666667,0.746669301
1901,4,21.33529412,158.9944058,154.5318627,1.038639958
